Date,Open,High,Low,Close,Volume,Adj Close,Adj Close SMA(10)
2015-05-01,42.549999,42.68,42.09,42.509998,10457300,42.509998,43.84
2015-04-30,43.119999,43.310001,42.259998,42.57,14257900,42.57,44.04
2015-04-29,43.880001,44.049999,43.09,43.279999,12712600,43.279999,44.36
2015-04-28,44.34,44.57,43.939999,44.34,7197100,44.34,44.60
2015-04-27,44.650002,45.099998,44.25,44.360001,10855400,44.360001,44.72
2015-04-24,43.73,44.709999,43.689999,44.52,11281100,44.52,44.76
2015-04-23,43.919998,44.060001,43.580002,43.700001,14298900,43.700001,44.83
2015-04-22,44.580002,44.849998,43.669998,43.98,32284300,43.98,45.02
2015-04-21,45.150002,45.18,44.450001,44.490002,18617900,44.490002,45.14
2015-04-20,44.73,44.91,44.41,44.66,10228700,44.66,45.05
2015-04-17,45.299999,45.439999,44.25,44.450001,13591600,44.450001,44.95
2015-04-16,45.82,46.130001,45.529999,45.779999,13833100,45.779999,44.92
2015-04-15,45.459999,45.830002,45.23,45.73,15039600,45.73,44.76
2015-04-14,44.82,45.639999,44.790001,45.529999,12365800,45.529999,44.63
2015-04-13,45.25,45.59,44.720001,44.77,8837300,44.77,44.57
2015-04-10,45.790001,45.790001,45.00,45.18,8436400,45.18,44.60
2015-04-09,45.700001,46.169998,45.16,45.630001,13678000,45.630001,44.53
2015-04-08,43.860001,45.189999,43.799999,45.169998,16071000,45.169998,44.39
2015-04-07,43.790001,44.220001,43.560001,43.610001,11382000,43.610001,44.31
2015-04-06,43.82,44.029999,43.610001,43.669998,10717000,43.669998,44.43
2015-04-02,44.240002,44.360001,43.68,44.150002,12229400,44.150002,44.56
2015-04-01,44.450001,44.599998,43.950001,44.130001,14722300,44.130001,44.65
2015-03-31,44.82,45.200001,44.419998,44.439999,10415500,44.439999,44.70
2015-03-30,45.360001,45.419998,44.82,44.950001,8884300,44.950001,44.63
2015-03-27,45.200001,45.669998,45.009998,45.099998,20563500,45.099998,44.49
2015-03-26,43.779999,44.669998,43.68,44.470001,16162900,44.470001,44.27
2015-03-25,44.59,44.93,44.130001,44.200001,14036900,44.200001,44.11
2015-03-24,44.639999,44.779999,44.279999,44.419998,7559100,44.419998,43.94
2015-03-23,45.25,45.540001,44.709999,44.720001,8268800,44.720001,43.77
2015-03-20,45.369999,45.580002,44.91,45.040001,14194200,45.040001,43.60
2015-03-19,44.900002,45.450001,44.810001,44.98,14758000,44.98,43.44
2015-03-18,43.580002,44.709999,43.43,44.669998,18919900,44.669998,43.35
2015-03-17,43.540001,44.16,43.459999,43.790001,9656200,43.790001,43.29
2015-03-16,42.93,43.880001,42.75,43.509998,11376400,43.509998,43.17
2015-03-13,42.84,42.98,42.439999,42.869999,9087000,42.869999,43.23
2015-03-12,42.700001,43.360001,42.580002,42.950001,8384800,42.950001,43.37
